stress-ng: info:  [327] setting to a 60 second run per stressor
stress-ng: info:  [327] dispatching hogs: 2 io
stress-ng: info:  [327] successful run completed in 60.15s (1 min, 0.15 secs)
stress-ng: info:  [327] stressor       bogo ops real time  usr time  sys time   bogo ops/s     bogo ops/s
stress-ng: info:  [327]                           (secs)    (secs)    (secs)   (real time) (usr+sys time)
stress-ng: info:  [327] io                 8503     60.06      6.12     51.81       141.57         146.78
========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Starting stress-ng workload for 60 seconds...
Command: stress-ng --io 2 --timeout 60s --metrics-brief


Stress-ng completed with exit code: 0
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1200
Deadline misses: 7 (0.58%)
Execution time:
  Mean: 390.115 us
  Min: 136.464 us
  Max: 3167.952 us
Jitter:
  Mean: 2997.925 us
  Max: 21064.176 us
Response time:
  Mean: 3388.041 us
  Min: 1389.424 us
  Max: 21255.792 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 404840   5048  30768    0    0    28    11  437  545  8 54 25 13  0 1970-01-01 00:07:19
 2  0      0 402112   5056  32920    0    0     0   304  668  720 14 49 25 12  0 1970-01-01 00:07:20
 3  0      0 402112   5064  32928    0    0     0    16 1089 1446  6 68  5 21  0 1970-01-01 00:07:21
 2  0      0 402112   5072  32920    0    0     0    16 1049 1455  6 67  5 22  0 1970-01-01 00:07:22
 2  0      0 402112   5080  32928    0    0     0    16 1081 1474  5 69  6 21  0 1970-01-01 00:07:23
 2  0      0 402112   5088  32928    0    0     0    16 1084 1438  5 68  5 23  0 1970-01-01 00:07:24
 3  0      0 402112   5096  32928    0    0     0    16 1121 1454  6 69  4 21  0 1970-01-01 00:07:25
 3  0      0 402112   5104  32928    0    0     0    16 1052 1418  6 68  4 22  0 1970-01-01 00:07:26
 3  0      0 402112   5112  32928    0    0     0    16 1024 1377  7 66  3 23  0 1970-01-01 00:07:27
 2  0      0 402112   5120  32928    0    0     0    16  984 1341  5 67  5 23  0 1970-01-01 00:07:28
 2  0      0 402112   5128  32928    0    0     0    16 1028 1398  9 65  3 23  0 1970-01-01 00:07:29
 2  0      0 402112   5136  32928    0    0     0    16 1081 1512  5 69  3 23  0 1970-01-01 00:07:30
 2  0      0 402112   5144  32928    0    0     0    16 1088 1442  5 68  3 23  0 1970-01-01 00:07:31
 2  0      0 402112   5152  32928    0    0     0    16 1103 1496  7 67  3 23  0 1970-01-01 00:07:32
